ID,Film,Year,Award,Nomination
277,Master and Commander: The Far Side of the World,2003,2,10
278,Mystic River,2003,2,6
279,Cold Mountain,2003,1,7
280,Lost in Translation,2003,1,4
281,Finding Nemo,2003,1,4
282,The Barbarian Invasions,2003,1,2
283,Two Soldiers,2003,1,1
284,Monster,2003,1,1
285,Harvie Krumpet,2003,1,1
286,Chernobyl Heart,2003,1,1
287,The Fog of War,2003,1,1
288,Chicago,2002,6,13
289,The Pianist,2002,3,7
290,The Lord of the Rings: The Two Towers,2002,2,6
291,Frida,2002,2,6
292,The Hours,2002,1,9
293,Road to Perdition,2002,1,6
294,Adaptation,2002,1,4
295,Talk to Her,2002,1,2
296,This Charming Man,2002,1,1
297,Spirited Away,2002,1,1
298,Nowhere in Africa,2002,1,1
299,The ChubbChubbs!,2002,1,1
300,Twin Towers,2002,1,1
301,Bowling for Columbine,2002,1,1
302,8 Mile,2002,1,1
303,A Beautiful Mind,2001,4,8
304,The Lord of the Rings: The Fellowship of the Ring,2001,4,13
305,Moulin Rouge!,2001,2,8
306,Black Hawk Down,2001,2,4
307,Gosford Park,2001,1,7
308,"Monsters, Inc.",2001,1,4
309,Pearl Harbor,2001,1,4
310,Iris,2001,1,3
311,Shrek,2001,1,2
312,Training Day,2001,1,2
313,Monster's Ball,2001,1,2
314,Thoth,2001,1,1
315,For the Birds,2001,1,1
316,No Man's Land,2001,1,1
317,Murder on a Sunday Morning,2001,1,1
318,The Accountant,2001,1,1
319,Gladiator,2000,5,12
320,"Crouching Tiger, Hidden Dragon",2000,4,10
321,Traffic,2000,4,5
322,Erin Brockovich,2000,1,5
323,Almost Famous,2000,1,4
324,Wonder Boys,2000,1,3
325,How the Grinch Stole Christmas,2000,1,3
326,U-571,2000,1,2
327,Pollock,2000,1,2
328,Father and Daughter,2000,1,1
329,Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1
330,Quiero ser (I want to be...),2000,1,1
331,Big Mama,2000,1,1
332,American Beauty,1999,5,8
333,The Matrix,1999,4,4
334,The Cider House Rules,1999,2,7
335,Topsy-Turvy,1999,2,4
336,Sleepy Hollow,1999,1,3
337,Boys Don't Cry,1999,1,2
338,Tarzan,1999,1,1
339,One Day in September,1999,1,1
340,The Red Violin,1999,1,1
341,The Old Man and the Sea,1999,1,1
342,My Mother Dreams the Satan's Disciples in New York,1999,1,1
343,King Gimp,1999,1,1
344,"Girl, Interrupted",1999,1,1
345,All About My Mother,1999,1,1
346,Shakespeare in Love,1998,7,13
347,Saving Private Ryan,1998,5,11
348,Life Is Beautiful,1998,3,7
349,Elizabeth,1998,1,7
350,Gods and Monsters,1998,1,3
351,The Prince of Egypt,1998,1,2
352,Affliction,1998,1,2
353,What Dreams May Come,1998,1,2
354,The Personals,1998,1,1
355,The Last Days,1998,1,1
356,Election Night,1998,1,1
357,Bunny,1998,1,1
358,Titanic,1997,11,14
359,Good Will Hunting,1997,2,9
360,L.A. Confidential,1997,2,9
361,As Good as It Gets,1997,2,7
362,The Full Monty,1997,1,4
363,Men in Black,1997,1,3
364,Visas and Virtue,1997,1,1
365,Character,1997,1,1
366,Geri's Game,1997,1,1
367,A Story of Healing,1997,1,1
368,The Long Way Home,1997,1,1
369,The English Patient,1996,9,12
370,Fargo,1996,2,7
371,Shine,1996,1,7
372,Evita,1996,1,5
373,Jerry Maguire,1996,1,5
374,Independence Day,1996,1,2
375,Emma,1996,1,2
376,Sling Blade,1996,1,2
377,The Ghost and the Darkness,1996,1,1
378,Kolya,1996,1,1
379,The Nutty Professor,1996,1,1
380,Quest,1996,1,1
381,When We Were Kings,1996,1,1
382,Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1
383,Dear Diary,1996,1,1
384,Braveheart,1995,5,10
385,Apollo 13,1995,2,9
386,Pocahontas,1995,2,2
387,The Usual Suspects,1995,2,2
388,Restoration,1995,2,2
389,Babe,1995,1,7
390,Sense and Sensibility,1995,1,7
391,Il Postino: The Postman,1995,1,5
392,Dead Man Walking,1995,1,4
393,Leaving Las Vegas,1995,1,4
394,Mighty Aphrodite,1995,1,2
395,Anne Frank Remembered,1995,1,1
396,A Close Shave,1995,1,1
397,Lieberman in Love,1995,1,1
398,One Survivor Remembers,1995,1,1
399,Antonia's Line,1995,1,1
400,Toy Story,1995,0,3
401,Forrest Gump,1994,6,13
402,The Lion King,1994,2,4
403,Speed,1994,2,3
404,Ed Wood,1994,2,2
405,Pulp Fiction,1994,1,7
406,Bullets Over Broadway,1994,1,7
407,The Madness of King George,1994,1,4
408,Legends of the Fall,1994,1,3
409,A Time for Justice,1994,1,1
410,Franz Kafka's It's a Wonderful Life,1994,1,1
411,Maya Lin: A Strong Clear Vision,1994,1,1
412,Burnt by the Sun,1994,1,1
413,Trevor,1994,1,1
414,"The Adventures of Priscilla, Queen of the Desert",1994,1,1
415,Bob's Birthday,1994,1,1
416,Blue Sky,1994,1,1
417,Schindler's List,1993,7,12
418,The Piano,1993,3,8
419,Jurassic Park,1993,3,3
420,Philadelphia,1993,2,5
421,The Fugitive,1993,1,7
422,The Age of Innocence,1993,1,5
423,The Wrong Trousers,1993,1,1
424,Belle Epoque,1993,1,1
